tipo de gasto,up,ur,pp,programa presupuestario,importe,year
PROGRAMABLE,DESPACHO DEL GOBERNADOR,DESPACHO DEL GOBERNADOR,636,AtenciOn Integral del Despacho del C. Gobernador,"7,239,258.01",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,10,"Gobierno digital en lInea, innovaciOn y crecimiento en cobertura de servicios","4,818,404.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,15,ModernizaciOn del Registro Civil,"31,106,207.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,19,"AsesorIa tEcnica de recursos financieros, humanos, informAticos, servicios generales , publicaciones oficiales y productos grAficos","102,345,858.38",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,24,AtenciOn y Seguimiento de los Asuntos JurIdicos del Gobierno del Estado,"105,372,429.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,26,AtenciOn a los Asuntos y Conflictos Agrarios en el Estado de Jalisco,"25,012,274.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,27,Agenda para el Desarrollo Municipal,"27,858,908.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,36,CertificaciOn de documentos e Instrumentos pUblicos dando certeza y seguridad jurIdica a los ciudadanos,"10,806,792.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,45,Actos registrales y mercantiles,"101,479,455.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,46,Centro de prevenciOn social,"16,218,064.48",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,711,Red de Enlace y Sistema Integral Ciudadano de la Secretaria General de Gobierno,"55,033,353.06",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,733,Modelo de AtenciOn Integral a VIctimas,"33,395,961.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,736,GestiOn de los recursos federales del Secretariado Ejecutivo del Consejo Estatal de Seguridad PUblica,"20,035,433.91",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,739,EvaluaciOn y Monitoreo de la ProblemAtica Social en las Regiones y Estado,"18,408,384.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,746,Centro Estatal de evaluaciOn y Control de Confianza,"79,647,684.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,798,"ConducciOn de la PolItica Interior, las Relaciones y Asuntos dirigidos al Ejecutivo Estatal","9,818,710.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,799,ConsolidaciOn del Nuevo Sistema de Justicia Penal para el Estado de Jalisco,"15,147,565.50",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,804,"Programa Estatal de ProtecciOn Integral de niñas, niños, y adolescentes","4,040,731.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,SECRETARIA GENERAL DE GOBIERNO,805,"Seguridad, certeza en los actos jurIdicos, firma electrOnica, guarda , custodia de los inmuebles del Estado","15,209,232.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,INSTITUTO JALISCIENSE DE LAS MUJERES,676,Programa para la igualdad entre mujeres y hombres,"6,122,298.14",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,INSTITUTO JALISCIENSE DE LAS MUJERES,677,Programa para Incorporar la Transversalidad de la Perspectiva de GEnero en el Sector PUblico,"4,368,608.50",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,INSTITUTO JALISCIENSE DE LAS MUJERES,678,PrevenciOn y AtenciOn de la Violencia contra las Mujeres,"19,624,721.50",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,INSTITUTO JALISCIENSE DE LAS MUJERES,679,Fortalecimiento Institucional en temas de igualdad y perspectiva de gEnero,"6,877,273.86",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,INSTITUTO JALISCIENSE DE LA JUVENTUD,682,Programa de Bienestar Juvenil,"12,886,202.51",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,INSTITUTO JALISCIENSE DE LA JUVENTUD,683,Programa de ComunicaciOn Efectiva,"2,961,797.49",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,INSTITUTO JALISCIENSE DE LA JUVENTUD,699,ProcuradurIa de la Defensa Fiscal y Administrativa del Estado de Jalisco y Sus Municipios,"1,000,000.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,PROCURADURIA DE LA DEFENSA FISCAL Y ADMINISTRATIVA DEL ESTADO DE JALISCO Y SUS MUNICIPIOS,699,ProcuradurIa de la Defensa Fiscal y Administrativa del Estado de Jalisco y Sus Municipios,"1,000,000.00",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,INSTITUTO JALISCIENSE DE CIENCIAS FORENSES,577,Ciencia Aplicada a la DictaminaciOn para la ProcuraciOn de Justicia,"178,806,544.75",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,UNIDAD ESTATAL DE PROTECCION CIVIL Y BOMBEROS,580,PrevenciOn y AtenciOn de Emergencias,"128,830,863.47",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,UNIDAD ESTATAL DE PROTECCION CIVIL Y BOMBEROS,581,Fortalecimiento de la Cultura de la ProtecciOn Civil,"15,912,593.26",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,UNIDAD ESTATAL DE PROTECCION CIVIL Y BOMBEROS,582,Fortalecimiento del Sistema Estatal de ProtecciOn Civil,"4,646,006.53",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,UNIDAD ESTATAL DE PROTECCION CIVIL Y BOMBEROS,583,Brigadistas Comunitarios,"9,330,358.45",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,UNIDAD ESTATAL DE PROTECCION CIVIL Y BOMBEROS,584,Atlas Estatal de Riesgos,"2,080,563.29",2018
PROGRAMABLE,SECRETARIA GENERAL DE GOBIERNO,FIDEICOMISO PARA LA OPERACION DEL SISTEMA DE JUSTICIA PENAL,850,"Seguimiento, evaluaciOn y consolidaciOn del nuevo sistema de justicia penal (juicios orales)","50,000,000.00",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",54,Fortalecimiento de la Hacienda PUblica Estatal,"198,447,799.06",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",56,AtenciOn al contribuyente en Oficinas Recaudadoras y medios alternos de pago,"251,516,004.37",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",57,Cobro coactivo de crEditos fiscales,"20,549,262.00",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",62,Actos jurIdicos apegados a la legalidad,"35,886,549.00",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",63,"Programa de EjecuciOn de la PolItica de AdministraciOn, Manejo de los Recursos Materiales, PrestaciOn de Servicios Generales y Desarrollo de los Recursos Humanos del Poder Ejecutivo","111,567,969.94",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",66,AtenciOn de asuntos jurIdicos fiscales,"23,883,547.70",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",70,Abastecimientos de Bienes y Servicios a las Dependencias del Ejecutivo y Organismos,"235,926,715.31",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",72,"PlaneaciOn, monitoreo y evaluaciOn de polIticas pUblicas","51,515,626.32",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",75,Obligaciones Financieras y Fiscales del Gobierno del Estado,"401,477,613.45",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",76,InnovaciOn y TecnologIas de InformaciOn y Telecomunicaciones,"258,482,387.40",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",81,VinculaciOn con Organismos PUblicos Descentralizados del Poder Ejecutivo,"25,964,505.69",2018
PROGRAMABLE,"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS",88,"AdministraciOn Eficiente y Eficaz de los Recursos Humanos, Materiales y Financieros de la SEPAF","134,304,122.59",2018
