Gobierno del Estado de Jalisco,,,,
Presupuesto de egresos para el ejercicio fiscal 2019,,,,
Unidad Presupuestal - Unidad Responsable y Programa Presupuestario,,,,
UP,UR,PP,Programa Presupuestario,Importe
Gasto Programable,,,,
DESPACHO DEL GOBERNADOR,,,,
,DESPACHO DEL GOBERNADOR,,,
01,000,636,Atención Integral del Despacho del C. Gobernador,"7,499,273.93"
Total Unidad Responsable 000,,,,"7,499,273.93"
Total Unidad Presupuestal 01,,,,"7,499,273.93"
SECRETARÍA GENERAL DE GOBIERNO,,,,
,SECRETARÍA GENERAL DE GOBIERNO,,,
02,000,010,"Gobierno digital en línea, innovación y crecimiento en cobertura de servicios","869,050.00"
02,000,015,Modernización del Registro Civil,"4,182,773.00"
02,000,019,"Asesoría técnica de recursos financieros, humanos, informáticos, servicios generales , publicaciones oficiales y productos gráficos","107,594,336.16"
02,000,026,Atención a los Asuntos y Conflictos Agrarios en el Estado de Jalisco,"12,563,724.50"
02,000,027,Agenda para el Desarrollo Municipal,"2,070,000.00"
02,000,036,Certificación de documentos e Instrumentos públicos dando certeza y seguridad jurídica a los ciudadanos,"4,742,508.00"
02,000,045,Actos registrales y mercantiles,"806,906.00"
02,000,711,Red de Enlace y Sistema Integral Ciudadano de la Secretaria General de Gobierno,"29,949,181.88"
02,000,733,Modelo de Atención Integral a Víctimas,"26,425,000.00"
02,000,739,Evaluación y Monitoreo de la Problemática Social en las Regiones y Estado,"187,280,384.00"
02,000,798,"Conducción de la Política Interior, las Relaciones y Asuntos dirigidos al Ejecutivo Estatal","24,327,059.00"
02,000,799,Consolidación del Nuevo Sistema de Justicia Penal para el Estado de Jalisco,"7,385,000.00"
02,000,804,"Programa Estatal de Protección Integral de niñas, niños, y adolescentes","1,916,800.00"
02,000,805,"Seguridad, certeza en los actos jurídicos, firma electrónica, guarda , custodia de los inmuebles del Estado","1,057,000.00"
Total Unidad Responsable 000,,,,"411,169,722.54"
,FONDO ESTATAL DE DESASTRES NATURALES (FOEDEN),,,
02,081,708,Fideicomiso Fondo Estatal de Desastres Naturales Jalisco (FOEDEN),"58,462,418.00"
Total Unidad Responsable 081,,,,"58,462,418.00"
,INSTITUTO DE INFORMACIÓN ESTADÍSTICA Y GEOGRÁFICA DEL ESTADO DE JALISCO,,,
02,087,079,Información Estratégica para la Toma de Decisiones,"30,675,037.76"
Total Unidad Responsable 087,,,,"30,675,037.76"
,UNIDAD ESTATAL DE PROTECCIÓN CIVIL Y BOMBEROS,,,
02,117,580,Prevención y Atención de Emergencias,"146,555,227.25"
02,117,581,Fortalecimiento de la Cultura de la Protección Civil,"16,025,408.05"
02,117,582,Fortalecimiento del Sistema Estatal de Protección Civil,"2,394,474.55"
02,117,583,Brigadistas Comunitarios,"9,750,822.88"
02,117,584,Atlas Estatal de Riesgos,"2,074,179.55"
Total Unidad Responsable 117,,,,"176,800,112.28"
,FIDEICOMISO PARA LA OPERACIÓN DEL SISTEMA DE JUSTICIA PENAL,,,
02,141,850,"Seguimiento, evaluación y consolidación del nuevo sistema de justicia penal (juicios orales)","50,000,000.00"
Total Unidad Responsable 141,,,,"50,000,000.00"
,COMISIÓN PARA LA BÚSQUEDA DE PERSONAS DESAPARECIDAS,,,
02,801,928,Programa Estatal de Búsqueda de Personas,"10,000,000.00"
Total Unidad Responsable 801,,,,"10,000,000.00"
Total Unidad Presupuestal 02,,,,"737,107,290.58"
SECRETARÍA DE LA HACIENDA PÚBLICA,,,,
,SECRETARÍA DE LA HACIENDA PÚBLICA,,,
03,000,054,Fortalecimiento de la Hacienda Pública Estatal,"229,388,337.70"
03,000,056,Atención al contribuyente en Oficinas Recaudadoras y medios alternos de pago,"261,026,009.40"
03,000,057,Cobro coactivo de créditos fiscales,"21,288,338.00"
03,000,066,Atención de asuntos jurídicos fiscales,"25,192,916.68"
03,000,075,Obligaciones Financieras y Fiscales del Gobierno del Estado,"303,813,212.45"
03,000,076,Innovación y Tecnologías de Información y Telecomunicaciones,"106,539,923.16"
03,000,081,Vinculación con Organismos Públicos Descentralizados del Poder Ejecutivo,"11,424,097.00"
03,000,088,"Administración Eficiente y Eficaz de los Recursos Humanos, Materiales y Financieros de la Secretaría de Hacienda Pública","285,463,728.34"
03,000,089,Coordinación del Proceso Presupuestario y Administración de los Recursos Materiales y Desarrollo de los Recursos Humanos,"63,737,695.72"
03,000,093,Vigilancia del Cumplimiento de las Obligaciones Fiscales,"77,761,236.99"
03,000,104,Presupuesto basado en Resultados (PbR),"25,215,215.43"
