ingreso,tipo,subtipo,monto,year
Impuestos,Sobre los ingresos,"Impuesto sobre Loterias, Rifas, Sorteos, Juegos con Apuesta y Concursos de Toda Clase","212,800,000",2019
Impuestos,Sobre los ingresos,Impuesto sobre Enajenacion y Distribucion de Boletos de Rifas y Sorteos,"30,800,000",2019
Impuestos,Sobre los ingresos,Impuesto sobre Remuneraciones al Trabajo Personal no Subordinado,"181,700,000",2019
Impuestos,Sobre el patrimonio ,-,NA,2019
Impuestos,"Sobre la produccion, el consumo y las transacciones",Impuesto sobre Transmisiones Patrimoniales de Bienes Muebles,"21,872,000",2019
Impuestos,"Sobre la produccion, el consumo y las transacciones",Impuesto sobre la Adquisici?n de Vehiculos Automotores Usados,"396,065,600",2019
Impuestos,"Sobre la produccion, el consumo y las transacciones",Impuesto sobre Hospedaje,"390,000,000",2019
Impuestos,Impuestos sobre comercio exterior ,-,NA,2019
Impuestos,Impuesto sobre Nominas y Asimilables,Impuesto sobre Nominas,"3,726,000,000",2019
Impuestos,Impuestos ecologicos,-,NA,2019
Impuestos,Accesorios generados por Adeudos de Impuestos,Accesorios,"33,290,565",2019
Impuestos,Otros impuestos,-,NA,2019
Impuestos,Impuestos no comprendidos en las fracciones de la Ley de Ingresos causadas en ejercicios fiscales anteriores pendientes de liquidaci?n o pago,Impuestos sobre Negocios Juridicos e Instrumentos Notariales (ejercicios anteriores),"500,000",2019
Cuotas y aportaciones de seguridad social,Aportaciones para fondos de vivienda,-,0,2019
Cuotas y aportaciones de seguridad social,Cuotas para seguridad social,-,0,2019
Cuotas y aportaciones de seguridad social,Cuotas de ahorro para el retiro,-,0,2019
Cuotas y aportaciones de seguridad social,Otras cuotas y aportaciones para la seguridad social,-,0,2019
Cuotas y aportaciones de seguridad social,Accesorios para las cuotas y aportaciones de seguridad social,-,0,2019
Contribuciones y mejoras ,Contribuciones de mejoras para Obras publicas,-,0,2019
Contribuciones y mejoras ,"Contribuciones de mejoras no comprendidas en la ley de ingresos vigente, causadas en ejercicios fiscales anteriores, pendientes de liquidacion de pago",-,0,2019
Derechos,"Derechos por el uso, goce, aprovechamiento o explotación de bienes de dominio publico ",Bienes de dominio publico,0,2019
Derechos,Derechos a los hidrocarburos (Derogado),-,NA,2019
Derechos,Derechos por prestacion de servicios,Registro Publico de la Propiedad y de Comercio,"605,037,235",2019
Derechos,Derechos por prestacion de servicios,Archivo de Instrumentos Publicos y Archivo General del Estado,"58,136,485",2019
Derechos,Derechos por prestacion de servicios,Autorizaciones para el Ejercicio Profesional y Notarial,"2,855,985",2019
Derechos,Derechos por prestacion de servicios,Servicios en los ramos de Movilidad y Transporte,"4,802,002,061",2019
Derechos,Derechos por prestacion de servicios,Aportacion Cruz Roja Mexicana y Hogar Cabanas,"88,951,445",2019
Derechos,Derechos por prestacion de servicios,"Certificaciones, Expediciones de Constancias y  Otros Servicios","82,591,575",2019
Derechos,Otros derechos,Servicios diversos,"14,237,995",2019
Derechos,Accesorios Generados por Adeudo de Derechos,Accesorios,"88,122,760",2019
Derechos,Derechos no comprendidos en las fracciones de la ley de ingresos causadas en ejercicios fiscales anteriores a los pendientes de liquidacion y pago,-,0,2019
Productos,Productos,"Uso, Goce, Aprovechamiento o Explotacion de Bienes de Dominio Privado","141,828,445",2019
Productos,Productos,Rendimientos e Intereses de Capital de Inversiones del Estado,"18,152,695",2019
Productos,Productos,Productos diversos,"18,991,830",2019
Productos,Productos de capital (Derogado),-,NA,2019
Productos,Productos no compredidos en las fracciones de la ley de ingresos causadas en ejercicios fiscales anteriores pendientes de liquidacion y pago,-,0,2019
Aprovechamientos,Aprovechamientos,Diversos,"276,299,139",2019
Aprovechamientos,Aprovechamientos,Multas de Movilidad y Transporte,"495,411,510",2019
Aprovechamientos,Aprovechamientos patrimoniales,-,0,2019
Aprovechamientos,Accesorios de aprovechamiento ,-,"28,346,688",2019
Aprovechamientos,Aprovechamientos no comprendidos en la ley de ingresos vigentes causados en ejercicios fiscales anteriores pendientes de liquidacion y pago,-,0,2019
"Ingresos por venta de bienes, prestacion de servicios y otros",Ingresos por venta de bienes y prestacion de servicios de intituciones publicas y de seguridad social,-,0,2019
"Ingresos por venta de bienes, prestacion de servicios y otros",Ingresos por venta de bienes y prestacion de servicios de empresas productivas del estado,-,0,2019
"Ingresos por venta de bienes, prestacion de servicios y otros",Ingresos por venta de bienes y prestacion de servicios de entidades paraestatales y fideicomisos no empresariales y no financieros,-,0,2019
"Ingresos por venta de bienes, prestacion de servicios y otros",Ingresos por venta de bienes y prestacion de servicios de entidades paraestatales empresariales no financieras con participacion estatal mayoritaria,-,0,2019
"Ingresos por venta de bienes, prestacion de servicios y otros",Ingresos por venta de bienes y prestacion de servicios de entidades paraestatales empresariales no financieras monetarias con participacion estatal mayoritaria ,-,0,2019
"Ingresos por venta de bienes, prestacion de servicios y otros",Ingresos por venta de bienes y prestacion de servicios de entidades paraestatales empresariales no financieras no monetarias con participacion estatal mayoritaria,-,0,2019
"Ingresos por venta de bienes, prestacion de servicios y otros",Ingresos por venta de bienes y prestacion de servicios de fideicomisos financieros publicos con participacion estatal mayoritaria,-,0,2019
"Ingresos por venta de bienes, prestacion de servicios y otros","Ingresos por venta de bienes y prestacion de servicios de poderes legislativo y judicial, y de los organos autonomos",-,0,2019
"Ingresos por venta de bienes, prestacion de servicios y otros",Otros ingresos,-,0,2019
Participaciones y aportaciones,Participaciones,Fondo General de Participaciones,"43,215,617,380",2019
Participaciones y aportaciones,Participaciones,Fondo de Fomento Municipal,"1,966,759,092",2019
Participaciones y aportaciones,Participaciones,Impuesto Especial sobre Produccion y Servicios (Tabacos y Licores),"1,099,089,030",2019
Participaciones y aportaciones,Participaciones,Fondo de Fiscalizacion y Recaudacion,"2,068,835,023",2019
Participaciones y aportaciones,Participaciones,100% de la Recaudacion de ISR que se entera a la Federacion (ISR MUNICIPAL),"6,728,124,141",2019
Participaciones y aportaciones,Participaciones,IEPS Gasolinas y Diesel,"1,635,903,558",2019
Participaciones y aportaciones,Participaciones,Fondo de estabilizacion de los ingresos de las entidades federativas (FEIEF),0,2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Aportaciones para la Nomina Educativa y Gasto Operativo (FONE),"19,412,705,095",2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Aportaciones para los Servicios de Salud (FASSA),"4,819,960,579",2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Infraestructura Social Estatal (FISE).,"208,745,893",2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Infraestructura Social Municipal (FISM).,"1,513,373,677",2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Aportaciones para el Fortalecimiento de los Municipios (FORTAMUN).,"5,032,833,237",2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Aportaciones Multiples Infraestructura Educativa Basica.,"417,283,335",2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Aportaciones Multiples Infraestructura Educativa Media Superior.,"44,626,637",2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Aportaciones Multiples Infraestructura Educativa Superior.,"147,759,560",2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Aportaciones para la Seguridad P?blica de los Estados (FASP).,"317,141,876",2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Aportaciones para la Educacion Tecnologica (CONALEP).,"271,087,557",2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Aportaciones para la Educacion de Adultos (INEA).,"108,339,000",2019
Participaciones y aportaciones,Aportaciones Federales,Fondo de Aportacion para el Fortalecimiento de las Entidades Federativas (FAFEF),"2,470,976,255",2019
Participaciones y aportaciones,Convenios,Seguro Agricola Catastrofico,"36,742,200",2019
Participaciones y aportaciones,Convenios,Colegio de Bachilleres del Estado de Jalisco (COBAEJ),"208,516,165",2019
Participaciones y aportaciones,Convenios,Colegio de Estudios Cientificos y Tecnologicos del Estado de Jalisco (CECYTEJ),"193,576,845",2019
Participaciones y aportaciones,Convenios,Instituto de Formacion para el trabajo del Estado de Jalisco (IDEFT),"58,352,800",2019
Participaciones y aportaciones,Convenios,Programa Seguro Popular,"2,432,636,602",2019
Participaciones y aportaciones,Convenios,Programas y Proyectos de Proteccion Contra Riesgos Sanitarios (COFEPRIS),"7,877,210",2019
Participaciones y aportaciones,Convenios,Fortalecimiento de la Seguridad  Publica (FORTASEG),"289,263,315",2019
Participaciones y aportaciones,Convenios,Instituciones Estatales de Cultura,"9,070,600",2019
Participaciones y aportaciones,Incentivos Derivados de la Colaboracion Fiscal,Impuesto sobre Tenencia  o Uso de Vehiculos de anos anteriores,"2,283,000",2019
Participaciones y aportaciones,Incentivos Derivados de la Colaboracion Fiscal,Impuesto Sobre Automoviles Nuevos I.S.A.N.,"963,890,986",2019
Participaciones y aportaciones,Incentivos Derivados de la Colaboracion Fiscal,Fondo de Compensacion ISAN,"204,731,104",2019
Participaciones y aportaciones,Incentivos Derivados de la Colaboracion Fiscal,Fondo de Compensacion Repecos e Intermedios,"259,323,190",2019
Participaciones y aportaciones,Incentivos Derivados de la Colaboracion Fiscal,Otros Incentivos Economicos,"2,187,366,077",2019
Participaciones y aportaciones,Fondos distintos de aportaciones,-,0,2019
"Transferencias, Asignaciones, Subsidios y Otras Ayudas",Transferencias Asignaciones,Fondos Metropolitanos,"373,325,205",2019
"Transferencias, Asignaciones, Subsidios y Otras Ayudas",Transferencias Asignaciones,Fideicomiso para estructura de los estados,0,2019
"Transferencias, Asignaciones, Subsidios y Otras Ayudas",Transferencias Asignaciones,Fondo para el desarrollo regional sustentable de los estados y los municipios mineros (Estatal),0,2019
