plaza,cantidad_plazas,remuneracion_min,remuneracion_max
ABOGADO,68,"7,594","15,905"
ABOGADO DE INSTRUMENTOS JURIDICOS,1,"16,102","16,102"
ABOGADO DE LA PROCURADURIA SOCIAL,1,"17,636","17,636"
ABOGADO ESPECIALISTA,4,"14,133","14,133"
ABOGADO ESPECIALIZADO,221,"11,930","15,905"
ABOGADO ESPECIALIZADO DE TRABAJO Y PREVISION SOC,12,"21,675","21,675"
ACTUARIO DE CONCILIACION Y ARBITRAJE,1,"15,905","15,905"
ACTUARIO DE CONCILIACION Y ARBITRAJE DE LA JUNTA,73,"19,239","19,239"
ACTUARIO DEL MINISTERIO PUBLICO,628,"15,117","15,117"
ACTUARIO ESPECIALIZADO DEL MINISTERIO PUBLICO,52,"15,117","15,117"
ADMINISTRADOR,4,"15,905","15,905"
ADMINISTRADOR DE AGENDA,1,"14,705","14,705"
ADMINISTRADOR DE ESPACIOS CULTURALES,2,"16,102","16,102"
ADMINISTRADOR DE RED GLOBAL DIGITAL,7,"21,675","21,675"
ADMINISTRADOR DE SISTEMAS,3,"19,239","19,239"
ADMINISTRADOR DEL TEATRO DEGOLLADO,1,"17,636","17,636"
ADMINISTRATIVO DE CONTROL DE CONFIANZA,3,"15,117","15,117"
ADMINISTRATIVO DE RESIDENCIA,6,"12,989","12,989"
ADMINISTRATIVO ESPECIALIZADO,2194,"6,636","14,705"
"ADMINISTRATIVO ESPECIALIZADO ""A""",7,"8,121","8,121"
ADMINISTRATIVO ESPECIALIZADO NIVEL 9,3,"13,066","13,066"
ADMOR. DE U. DPTVAS.,1,"5,680","5,680"
ADMVO ESPECIALIZADO A,2,"5,740","5,740"
ADMVO ESPECIALIZADO B,82,"6,993","6,993"
ADMVO ESPECIALIZADO C,114,"8,120","8,120"
AGENTE DE CASO,2,"17,636","17,636"
AGENTE DE INFORMACION,3,"6,636","6,636"
AGENTE DEL MINISTERIO PUBLICO,425,"22,233","22,233"
AGENTE DEL MINISTERIO PUBLICO DE ATENCION TEMPRANA,20,"22,233","22,233"
AGENTE DEL MINISTERIO PUBLICO DE INVESTIGACION,20,"22,233","22,233"
AGENTE ESPECIALIZADO DEL MINISTERIO PUBLICO,49,"24,858","24,858"
AGENTE SOCIAL,147,"17,636","17,636"
ALBAÑIL,3,"11,725","11,725"
ANALISTA,3,"14,133","14,133"
ANALISTA A,281,"10,135","13,512"
ANALISTA ADMINISTRATIVO,404,"7,594","13,512"
ANALISTA ADMINISTRATIVO NIVEL 7,10,"11,734","11,734"
ANALISTA B,141,"9,743","12,989"
ANALISTA COMUNITARIO,1,"11,956","11,956"
ANALISTA CONTABLE,23,"13,512","13,512"
ANALISTA CRIMINAL,4,"19,539","19,539"
ANALISTA DE COMUNICACION,18,"15,905","15,905"
ANALISTA DE CONTRALORIA SOCIAL,1,"15,905","15,905"
ANALISTA DE EDUCACION A DISTANCIA,1,"13,967","13,967"
ANALISTA DE EVALUACION DE PROYECTOS,14,"19,239","19,239"
ANALISTA DE PROGRAMACION DE APOYO,6,"10,496","13,992"
ANALISTA DE PROGRAMAS DE EDUCACION,3,"14,217","14,217"
ANALISTA DE PROYECTOS,1,"11,458","11,458"
ANALISTA DE PROYECTOS DE SALUD,1,"16,102","16,102"
ANALISTA DE PROYECTOS DE SALUD A,2,"19,239","19,239"
ANALISTA DE RECLUTAMIENTO Y SELECCION DE PERSONAL,1,"14,217","14,217"
ANALISTA DE RECURSOS HUMANOS Y FINANCIEROS,2,"13,512","13,512"
ANALISTA DE SISITEMAS EDUCATIVOS,1,"13,967","13,967"
ANALISTA DE SISTEMAS,10,"13,967","21,675"
ANALISTA DE SISTEMAS A,39,"19,239","19,239"
"ANALISTA DE SISTEMAS ADMINISTRATIVOS ""A""",6,"8,541","8,541"
ANALISTA DE SISTEMAS B,57,"12,078","16,102"
ANALISTA DE SISTEMAS MACROCOMPUTACIONALES,7,"8,417","8,417"
ANALISTA DIGITALIZADOR EN TRANSPARENCIA,2,"14,705","14,705"
ANALISTA DOCUMENTAL,1,"12,406","12,406"
ANALISTA EDITORIAL,1,"14,133","14,133"
ANALISTA EN EDUCACION A DISTANCIA,1,"14,217","14,217"
ANALISTA EN POLITICA SALARIAL,1,"19,239","19,239"
ANALISTA EN POLITICA SALARIAL A,1,"24,638","24,638"
ANALISTA ESPECIALIZADO,238,"8,042","15,905"
"ANALISTA ESPECIALIZADO ""A""",5,"9,879","9,879"
ANALISTA ESPECIALIZADO A,12,"15,905","15,905"
ANALISTA ESPECIALIZADO NIVEL 8,9,"12,281","12,281"
ANALISTA ESTADISTICO DE LA FISCALIA GENERAL,2,"19,539","19,539"
ANALISTA FINANCIERO,3,"16,102","16,102"
ANALISTA GEOGRAFO DE LA FISCALIA GENERAL,1,"19,539","19,539"
ANALISTA MULTIDISCIPLINARIO DE LA FISCALIA GENERAL,10,"24,858","24,858"
ANALISTA POLITICO,9,"16,102","16,102"
ANALISTA PROGRAMADOR,32,"8,042","8,042"
"ANALISTA PROGRAMADOR ""B""",1,"8,042","8,042"
ANALISTA RELATOR DE LA FISCALIA GENERAL,2,"22,233","22,233"
ANALISTA TECNICO ESPECIALIZADO,3,"10,373","10,373"
"ANALISTA TECNICO ESPECIALIZADO ""A""",4,"10,507","10,507"
APOYO ADMINISTRATIVO EN EDUCACION,1,"11,956","11,956"
APOYO ADMINISTRATIVO EN LA EDUCACIÓN,1,"10,997","10,997"
APOYO ADMINISTRATIVO EN SALUD A1,4,"7,881","7,881"
APOYO ADMINISTRATIVO EN SALUD A2,3,"7,934","7,934"
APOYO ADMINISTRATIVO EN SALUD A3,2,"7,984","7,984"
APOYO ADMINISTRATIVO EN SALUD A4,5,"8,064","8,064"
APOYO ADMINISTRATIVO EN SALUD A5,5,"8,144","8,144"
APOYO ADMINISTRATIVO EN SALUD A6,20,"8,169","8,169"
APOYO ADMINISTRATIVO EN SALUD A7,26,"8,219","8,219"
APOYO ADMINISTRATIVO EN SALUD A8,11,"8,532","8,532"
APOYO ADMINISTRATIVO EN SALUD A9,17,"8,666","8,666"
ARCHIVISTA,13,"8,796","11,725"
ARQUITECTO,1,"11,337","11,337"
ASESOR ACADEMICO,1,"15,675","15,675"
ASESOR JURIDICO,15,"14,133","15,905"
ASESOR TECNICO,10,"7,513","7,513"
