up(2018),importe(2018),mmdp(2018),up(2019),importe(2019),mmdp(2019),up(2020),importe(2020),mmdp(2020),resta19-18,resta20-19
"APORTACIONES, TRANSFERENCIAS Y SUBSIDIOS A MUNICIPIOS","6,713,807,930",6.71380793,"APORTACIONES, TRANSFERENCIAS Y SUBSIDIOS A MUNICIPIOS","6,835,470,229",6.835470229,"Aportaciones, Transferencias y Subsidios a Municipios","7,571,036,300",7.5710363,0.121662299,0.735566071
COMISION ESTATAL DE DERECHOS HUMANOS DE JALISCO,"151,013,196",0.151013196,COMISION ESTATAL DE DERECHOS HUMANOS DE JALISCO,"148,563,853",0.148563853,Comision Estatal de Derechos Humanos de Jalisco,"148,563,906",0.148563906,-0.002449343,5.3E-08
CONSEJO ECONOMICO Y SOCIAL DEL ESTADO DE JALISCO PARA EL DESARROLLO Y LA COMPETITIVIDAD,"14,795,000",0.014795,-,-,0,-,-,0,-0.014795,0
CONTRALORIA DEL ESTADO DE JALISCO,"109,993,282",0.109993282,CONTRALORIA DEL ESTADO,"113,883,905",0.113883905,Contraloria del Estado,"111,175,926",0.111175926,0.003890623,-0.002707979
DESPACHO DEL GOBERNADOR,"7,239,258",0.007239258,DESPACHO DEL GOBERNADOR,"7,499,274",0.007499274,Despacho del Gobernador,"7,211,508",0.007211508,0.000260016,-0.000287766
DEUDA PUBLICA,"2,718,634,458",2.718634458,DEUDA PUBLICA,"2,701,606,970",2.70160697,Deuda Publica,"2,603,336,300",2.6033363,-0.017027488,-0.09827067
FISCALIA GENERAL DEL ESTADO,"6,606,767,337",6.606767337,FISCALIA ESTATAL,"2,248,839,100",2.2488391,Fiscalia Estatal,"2,736,180,678",2.736180678,-4.357928237,0.487341578
"INSTITUTO DE TRANSPARENCIA, INFORMACION PUBLICA Y PROTECCION DE DATOS PERSONALES DEL ESTADO DE JALISCO","56,273,929",0.056273929,"INSTITUTO DE TRANSPARENCIA, INFORMACION PUBLICA Y PROTECCION DE DATOS PERSONALES DEL ESTADO DE JALISCO","56,273,929",0.056273929,"Instituto de Transparencia, Informacion Publica y Proteccion de Datos Personales del Estado de Jalisco","58,229,205",0.058229205,0,0.001955276
INSTITUTO ELECTORAL Y DE PARTICIPACION CIUDADANA,"936,376,807",0.936376807,INSTITUTO ELECTORAL Y DE PARTICIPACION CIUDADANA,"170,677,292",0.170677292,Instituto Electoral y de Participacion Ciudadana,"170,677,292",0.170677292,-0.765699515,0
PARTICIPACIONES,"15,543,069,230",15.54306923,PARTICIPACIONES,"17,074,499,416",17.07449942,Participaciones,"18,003,288,300",18.0032883,1.53143019,0.92878888
PODER JUDICIAL,"1,475,637,839",1.475637839,PODER JUDICIAL,"1,708,517,423",1.708517423,Poder Judicial,"1,739,018,100",1.7390181,0.232879584,0.030500677
PODER LEGISLATIVO DEL ESTADO DE JALISCO,"1,002,621,096",1.002621096,PODER LEGISLATIVO DEL ESTADO DE JALISCO,"997,060,129",0.997060129,Poder Legislativo del Estado de Jalisco,"997,060,600",0.9970606,-0.005560967,4.71E-07
PROCURADURIA SOCIAL,"131,937,763",0.131937763,PROCURADURIA SOCIAL,"130,109,652",0.130109652,Procuraduria Social,"155,268,378",0.155268378,-0.001828111,0.025158726
SECRETARIA DE CULTURA,"576,260,029",0.576260029,SECRETARIA DE CULTURA,"703,106,747",0.703106747,Secretaria de Cultura,"723,596,493",0.723596493,0.126846718,0.020489746
