up,importe_2018,importe_2019,importe_2020
"Aportaciones, Transferencias y Subsidios a Municipios","6,713,807,930","6,835,470,229","7,571,036,300"
Comision Estatal de Derechos Humanos de Jalisco,"151,013,196","148,563,853","148,563,906"
CESJAL,"14,795,000",,
Contraloria del Estado,"109,993,282","113,883,905","111,175,926"
Despacho del Gobernador,"7,239,258","7,499,274","7,211,508"
Deuda Pulica,"2,718,634,458","2,701,606,970","2,603,336,300"
Fiscalía Estatal,"6,606,767,337","2,248,839,100","2,736,180,678"
ITEI,"56,273,929","56,273,929","58,229,205"
IEPC,"936,376,807","170,677,292","170,677,292"
Participaciones,"15,543,069,230","17,074,499,416","18,003,288,300"
Poder Judicial,"1,475,637,839","1,708,517,423","1,739,018,100"
Poder Legislativo del Estado de Jalisco,"1,002,621,096","997,060,129","997,060,600"
Procuraduria Social,"131,937,763","130,109,652","155,268,378"
Secretaria de Cultura,"576,260,029","703,106,747","723,596,493"
Secretaria de Igualdad Sustantiva entre Mujeres y Hombres,"3,027,073,960","282,805,550","372,915,959"
Secretaria de Desarrollo Económico,"500,805,985","360,517,997","339,993,398"
Secretaria de Agricultura y Desarrollo Rural,"627,699,231","1,727,854,890","1,651,261,706"
Secretaria de Educacion,"31,477,257,042","32,459,620,439","33,378,098,848"
Secretaria de Infraestructura y Obra Publica,"3,835,223,061","5,550,998,338","6,467,965,115"
"Secretaria de Innovacion, Ciencia y Tecnologia","760,046,980","812,477,417","866,440,104"
Secretaria de Medio Ambiente y Desarrollo Territorial,"594,256,904","681,294,098","1,041,664,595"
Secretaria del Transporte,"2,124,446,251","1,609,284,726","1,700,987,447"
Secretaria de Administración,"2,132,994,629","938,581,111","1,271,105,823"
Secretaria de Salud Jalisco,"13,598,656,152","13,751,926,519","13,614,740,488"
Secretaria de Turismo,"165,377,156","190,354,157","170,248,599"
Secretaria del Trabajo y Prevision Social,"439,458,951","437,765,191","414,735,539"
Secretaria General de Gobierno,"1,120,203,278","737,107,291","829,628,560"
Tribunal de Arbitraje y Escalafon,"61,125,742","62,520,480","59,766,053"
Tribunal de Justicia Administrativa del Estado de Jalisco,"123,995,727","123,995,727","147,995,792"
Tribunal Electoral del Estado de Jalisco,"68,328,634","37,330,044","44,016,200"
Unidades Administrativas de Apoyo,"228,318,422","394,142,705","413,159,252"
Universidad de Guadalajara,"11,380,311,741","12,043,081,501","12,194,271,500"
Unidad de Enlace Federal y Asuntos Internacionales,0,"20,882,415","29,318,015"
Secretaria de Gestion Integral del Agua,0,"1,610,751,926","481,846,054"
Secretaria de la Hacienda Pública,0,"1,444,250,711","1,947,152,578"
Secretaria del Sistema de Asistencia Social,0,"2,666,601,420","3,313,511,695"
Secretaria de Planeación y Participación Ciudadana,0,"606,611,781","93,751,749"
Secretaria de Seguridad,0,"4,613,153,170","5,154,063,671"
Secretaria Ejecutiva del Sistema Estatal Anti-Corrupcion,0,"50,178,924","40,953,000"
Coordinación General Estratégica de Crecimiento y Desarrollo Economico,0,"11,638,334","18,015,742"
Coordinacion General Estratégica de Desarrollo Social,0,"362,291,213","372,186,933"
Coordinacion General Estratégica de Gestión del Territorio,0,"18,606,033","14,488,283"
Coordinacioin General Estratégica de Seguridad,0,"259,791,677","723,523,749"
Jefatura de Gabinete,0,"158,332,030","107,696,684"
Consejeria Juridica del Poder Ejecutivo del Estado,0,"25,378,824","29,294,264"
Fiscalia Especializada en Combate a la Corrupcion,0,0,"66,220,466"
Fiscalia Especializada en Materia de Delitos Electorales,0,0,"4,759,833"
