up,importe,year,tipo-up
"Aportaciones, Transferencias y Subsidios a Municipios","6,714","2,018",Grandes
Comision Estatal de Derechos Humanos de Jalisco,151,"2,018",Org. Autonomo
CESJAL,15,"2,018",Org. Autonomo
Contraloria del Estado,110,"2,018",Org. Autonomo
Despacho del Gobernador,7,"2,018",Org. Autonomo
Deuda Pulica,"2,719","2,018",
Fiscalia Estatal,"6,607","2,018",Fiscalia
ITEI,56,"2,018",Org. Autonomo
IEPC,936,"2,018",Org. Autonomo
Participaciones,"15,543","2,018",Grandes
Poder Judicial,"1,476","2,018",Org. Autonomo
Poder Legislativo del Estado de Jalisco,"1,003","2,018",Org. Autonomo
Procuraduria Social,132,"2,018",Org. Autonomo
Secretaria de Cultura,576,"2,018",Secretaria
Secretaria de Igualdad Sustantiva entre Mujeres y Hombres,"3,027","2,018",Secretaria
Secretaria de Desarrollo Economico,501,"2,018",Secretaria
Secretaria de Agricultura y Desarrollo Rural,628,"2,018",Secretaria
Secretaria de Educacion,"31,477","2,018",Grandes
Secretaria de Infraestructura y Obra Publica,"3,835","2,018",Secretaria
"Secretaria de Innovacion, Ciencia y Tecnologia",760,"2,018",Secretaria
Secretaria de Medio Ambiente y Desarrollo Territorial,594,"2,018",Secretaria
Secretaria del Transporte,"2,124","2,018",Secretaria
Secretaria de Administracion,"2,133","2,018",Secretaria
Secretaria de Salud Jalisco,"13,599","2,018",Grandes
Secretaria de Turismo,165,"2,018",Secretaria
Secretaria del Trabajo y Prevision Social,439,"2,018",Secretaria
Secretaria General de Gobierno,"1,120","2,018",Secretaria
Tribunal de Arbitraje y Escalafon,61,"2,018",Org. Autonomo
Tribunal de Justicia Administrativa del Estado de Jalisco,124,"2,018",Org. Autonomo
Tribunal Electoral del Estado de Jalisco,68,"2,018",Org. Autonomo
Unidades Administrativas de Apoyo,228,"2,018",Org. Autonomo
Universidad de Guadalajara,"11,380","2,018",Grandes
Unidad de Enlace Federal y Asuntos Internacionales,0,"2,018",Org. Autonomo
Secretaria de Gestion Integral del Agua,0,"2,018",Secretaria
Secretaria de la Hacienda Publica,0,"2,018",Secretaria
Secretaria del Sistema de Asistencia Social,0,"2,018",Secretaria
Secretaria de Planeacion y Participacion Ciudadana,0,"2,018",Secretaria
Secretaria de Seguridad,0,"2,018",Secretaria
Secretaria Ejecutiva del Sistema Estatal Anti-Corrupcion,0,"2,018",Secretaria
Coordinacion General Estrategica de Crecimiento y Desarrollo Economico,0,"2,018",Coordinacion
Coordinacion General Estrategica de Desarrollo Social,0,"2,018",Coordinacion
Coordinacion General Estrategica de Gestion del Territorio,0,"2,018",Coordinacion
Coordinacioin General Estrategica de Seguridad,0,"2,018",Coordinacion
Jefatura de Gabinete,0,"2,018",Org. Autonomo
Consejeria Juridica del Poder Ejecutivo del Estado,0,"2,018",Org. Autonomo
Fiscalia Especializada en Combate a la Corrupcion,0,"2,018",Fiscalia
Fiscalia Especializada en Materia de Delitos Electorales,0,"2,018",Fiscalia
"Aportaciones, Transferencias y Subsidios a Municipios","6,835","2,019",Grandes
Comision Estatal de Derechos Humanos de Jalisco,149,"2,019",Org. Autonomo
CESJAL,0,"2,019",Org. Autonomo
